SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000005355,HLT4,YNR072W,YNR072W_mRNA,YNR072W_mRNA,855809,P53631
S000004255,LIF2,YLR265C,YLR265C_mRNA,YLR265C_mRNA,850970,Q06148
S000005871,SGC1,YOR344C,YOR344C_mRNA,YOR344C_mRNA,854525,P33122
S000004548,,YML083C,YML083C_mRNA,YML083C_mRNA,854891,Q04526
S000003804,DNA polymerase delta subunit POL32,YJR043C,YJR043C_mRNA,YJR043C_mRNA,853500,P47110
S000000390,PCH2,YBR186W,YBR186W_mRNA,YBR186W_mRNA,852484,P38126
S000001208,DBF3,YHR165C,YHR165C_mRNA,YHR165C_mRNA,856570,P33334
S000005444,PHM7,YOL084W,YOL084W_mRNA,YOL084W_mRNA,854070,Q12252
S000006229,CCL1,YPR025C,YPR025C_mRNA,YPR025C_mRNA,856136,P37366
S000003476,LSC2,YGR244C,YGR244C_mRNA,YGR244C_mRNA,853159,P53312
S000002529,KIN1,YDR122W,YDR122W_mRNA,YDR122W_mRNA,851700,P13185
S000006123,AFT2,YPL202C,YPL202C_mRNA,YPL202C_mRNA,855899,Q08957
S000005982,ALD1,YPL061W,YPL061W_mRNA,YPL061W_mRNA,856044,P54115
S000001632,DBR1,YKL149C,YKL149C_mRNA,YKL149C_mRNA,853708,P24309
S000004203,CRR1,YLR213C,YLR213C_mRNA,YLR213C_mRNA,850910,Q05790
S000003427,ECM20,YGR195W,YGR195W_mRNA,YGR195W_mRNA,853109,P46948
S000005413,DDR2,YOL052C-A,YOL052C-A_mRNA,YOL052C-A_mRNA,854104,P89113
S000006247,L43A,YJR094W-A,YJR094W-A_mRNA,YJR094W-A_mRNA,856156,P0CX25
S000002820,RRP17,YDR412W,YDR412W_mRNA,YDR412W_mRNA,852021,Q04031
S000005304,,YNR021W,YNR021W_mRNA,YNR021W_mRNA,855755,P53723
S000002491,TVP23,YDR084C,YDR084C_mRNA,YDR084C_mRNA,851657,P38962
S000005691,SEY1,YOR165W,YOR165W_mRNA,YOR165W_mRNA,854336,Q99287
S000028850,,YNL042W-B,YNL042W-B_mRNA,YNL042W-B_mRNA,1466515,Q3E7Z2
S000001669,MTR2,YKL186C,YKL186C_mRNA,YKL186C_mRNA,853649,P34232
S000028804,,YJL047C-A,YJL047C-A_mRNA,YJL047C-A_mRNA,1466468,Q3E737
S000006365,BUR1,YPR161C,YPR161C_mRNA,YPR161C_mRNA,856290,P23293
S000003281,SCM4,YGR049W,YGR049W_mRNA,YGR049W_mRNA,852940,P32564
S000004342,ORM2,YLR350W,YLR350W_mRNA,YLR350W_mRNA,851064,Q06144
S000004610,PLB1,YMR008C,YMR008C_mRNA,YMR008C_mRNA,855020,P39105
S000001445,DIM2,YIR006C,YIR006C_mRNA,YIR006C_mRNA,854822,P32521
S000003716,ATP synthase complex assembly protein ATP12,YJL180C,YJL180C_mRNA,YJL180C_mRNA,853259,P22135
S000002995,CWH41,YGL027C,YGL027C_mRNA,YGL027C_mRNA,852857,P53008
S000000948,LSM5,YER146W,YER146W_mRNA,YER146W_mRNA,856889,P40089
S000002654,TRAPP subunit TRS23,YDR246W,YDR246W_mRNA,YDR246W_mRNA,851833,Q03784
S000000267,,YBR063C,YBR063C_mRNA,YBR063C_mRNA,852356,P38083
S000000345,25S rRNA (adenine2142-N1)-methyltransferase,YBR141C,YBR141C_mRNA,YBR141C_mRNA,852438,P38278
S000002776,YPR1,YDR368W,YDR368W_mRNA,YDR368W_mRNA,851974,Q12458
S000005538,,YOR012W,YOR012W_mRNA,YOR012W_mRNA,854177,Q12351
S000002727,FIT2A,YDR319C,YDR319C_mRNA,YDR319C_mRNA,851917,Q06676
S000000611,SRD1,YCR018C,YCR018C_mRNA,YCR018C_mRNA,850377,P09007
S000002671,DIN3,YDR263C,YDR263C_mRNA,YDR263C_mRNA,851856,Q12086
S000001830,,YFL064C,YFL064C_mRNA,YFL064C_mRNA,850480,P43540
S000005718,THI72,YOR192C,YOR192C_mRNA,YOR192C_mRNA,854364,Q08579
S000003817,,YJR056C,YJR056C_mRNA,YJR056C_mRNA,853518,P47115
S000002858,RPS18A,YDR450W,YDR450W_mRNA,YDR450W_mRNA,852061,P0CX55
S000002205,PPH1,YDL047W,YDL047W_mRNA,YDL047W_mRNA,851513,P20604
S000113557,,YDL007C-A,YDL007C-A_mRNA,YDL007C-A_mRNA,3799969,Q2V2Q0
S000003764,AG(ALPHA)1,YJR004C,YJR004C_mRNA,YJR004C_mRNA,853460,P20840
S000000283,RPG1,YBR079C,YBR079C_mRNA,YBR079C_mRNA,852371,P38249
S000001424,SUC2,YIL162W,YIL162W_mRNA,YIL162W_mRNA,854644,P00724
