"SYMBOL","ENTREZID","UNIPROT"
"gfcB",949118,"P75884"
"ydhR",946177,"P0ACX3"
"yhcD",947738,"P45420"
"nemR",946166,"P67430"
"ydfW",,"P76164"
"dhaK",945747,"P76015"
"insI3",,"P0CF89"
"ubiX",949033,"P0AG03"
"leuA",947465,"P09151"
"yghT",947477,"Q46844"
"cynR",945001,"P27111"
"chiP",945296,"P75733"
"aat",945490,"B1X825"
"qorB",948731,"P39315"
"yhjE",948032,"P37643"
"ybaK",947083,"P0AAR3"
"cra",944804,"P0ACP1"
"ycjO",945888,"P0AFR7"
"preT",949049,"P76440"
"frmA",944988,"P25437"
"yeaV",947326,"P0ABD1"
"yagU",945677,"P0AAA1"
"ydeP",946055,"P77561"
"ypjC",947640,"P76613"
"murI",948467,"P22634"
"rpiA",947407,"B1XEJ9"
"hydN",947190,"P0AAK4"
"galP",947434,"P0AEP1"
"ydfO",945992,"P76156"
"ycaK",945520,"P43340"
"yjeV",7751630,"C1P621"
"yqeG",945028,"P63340"
"sapB",946191,"P0AGH3"
"ynfA",946125,"P76169"
"torI",1450232,"Q2EES9"
"uvrC",947203,"C4ZQJ1"
"b1142",,"P75971"
"rlmC",947260,"B1X800"
"bamA",944870,"B1XD46"
"insC3",,"P0CF42"
"yjhI",949100,"P39360"
"tadA",947027,"P68398"
"yffO",946929,"P76546"
"yodC",946466,"P64517"
"ydeM",945981,"P76134"
"lldR",948122,"P0ACL7"
"chpB",948747,"P33647"
"acrZ",945365,"P0AAW9"
"ygeR",947352,"Q46798"
"ynaJ",945901,"P64445"
"pdxA",944919,"P19624"
"galU",945730,"P0AEP3"
"eutH",944979,"P76552"
"nuoM",947731,"P0AFE8"
"trpS",947894,"P00954"
"tmk",945663,"P0A720"
"pldB",948314,"P07000"
"rfbD",947117,"P37760"
"leuB",944798,"P30125"
"upp",946979,"P0A8F0"
"yafK",944910,"P0AA99"
"aqpZ",945497,"P60844"
"alsK",948596,"P32718"
"elfC",946934,"P75857"
"ebgA",947583,"P06864"
"copA",946106,"Q59385"
"rzoD",1450242,"P58041"
"yigL",2847768,"P27848"
"ybhH",945375,"P0AAV8"
"mscL",947787,"B1X6E2"
"ykgL",944962,"P56257"
"yihX",948380,"P0A8Y3"
"patA",947120,"C4ZQY9"
"yceD",945650,"P0AB28"
"tsaB",946304,"P76256"
"rpsE",947795,"P0A7W1"
"pppA",947467,"Q46836"
"cheB",946394,"P07330"
"ygeP",,"Q46796"
"yceA",945601,"C4ZRZ5"
"hemH",947532,"P23871"
"uhpC",948184,"P09836"
"gspO",947840,"P25960"
"frlB",947875,"P0AC00"
"hisQ",947235,"P52094"
"fhlA",947181,"P19323"
"yeiW",4056031,"P0AFT8"
"eutN",946945,"P0AEJ8"
"narL",945795,"P0AF28"
"ubiC",948545,"C5A132"
"glpT",946704,"P08194"
"yafD",946286,"B1XD73"
"ydbH",945949,"P52645"
"rhmT",945796,"P76470"
"grpE",947097,"B1XBT4"
"ybjT",945496,"P75822"
"tktA",947420,"P27302"
"cysG",947880,"P0AEA8"
"yciU",945819,"P0A8L7"
"sdiA",946421,"P07026"
"srkA",948346,"P0C0K3"
"ytfJ",948737,"P39187"
"yoeA",4056042,"P76356"
"xerD",947362,"P0A8P8"
"hyi",946186,"P30147"
"mutM",946765,"C4ZXM7"
"speG",946117,"P0A951"
"ydfI",945861,"P77260"
"intB",948782,"P39347"
"ulaF",948711,"C4ZR75"
"pheL",947080,"P0AD72"
"ybaM",945144,"P45807"
"pqqL",946059,"P31828"
"zraP",948507,"P0AAA9"
"yfjH",946123,"P52123"
"elfG",947185,"P75858"
"ymiB",7751616,"C1P5Z9"
"eco",946700,"P23827"
"eda",946367,"P0A955"
"cspF",946090,"P0A976"
"ggt",947947,"P18956"
"hisI",946515,"P06989"
"purB",945695,"P0AB89"
"yneJ",946079,"P77309"
"acuI",947848,"P26646"
"fliA",948824,"P0AEM6"
"phnI",948605,"P16687"
"dinF",948554,"P28303"
"ampD",948877,"P13016"
"rssA",945725,"P0AFR0"
"napA",947093,"P33937"
"yidB",948212,"P09996"
"ykgE",948438,"P77252"
"hmp",947018,"P24232"
"glnL",948360,"P0AFB5"
"tamB",948742,"P39321"
"yffR",946931,"P76549"
"ecpD",947349,"P77694"
"rpsH",947802,"C4ZUG1"
"artI",948988,"P30859"
"ycgR",947609,"P76010"
"lysA",947313,"P00861"
"tdcF",947624,"P0AGL2"
"stpA",947130,"P0ACG1"
"bioC",945388,"P12999"
"yibH",948110,"P0AFV0"
"ppa",948748,"P0A7A9"
"nupC",946895,"P0AFF2"
"yicR",948968,"C4ZXN0"
"ydhS",945786,"P77148"
"mqo",946702,"B1X8A6"
"pinR",948973,"P0ADI0"
"menI",946190,"P77781"
"rpoN",947714,"P24255"
"maeA",946031,"B1XE70"
"moeA",945454,"P12281"
"murF",944813,"P11880"
"iprA",,"P0AAP5"
"ilvA",948287,"P04968"
"yhbX",947711,"P42640"
"rfaZ",,"P27241"
"fliK",946449,"P52614"
"fabH",946003,"P0A6R0"
"yecF",946420,"P0AD07"
"ampC",948669,"P00811"
"yjcE",948577,"P32703"
"fdnG",946035,"P24183"
"proC",945034,"P0A9L8"
"ybiT",945440,"P0A9U3"
"amiA",946916,"P36548"
"sulA",947335,"C4ZQ84"
"oppC",945810,"P0AFH6"
"mbiA",,"P28697"
"ssb",948570,"P0AGE0"
"degQ",947812,"P39099"
"gmk",948163,"P60546"
"rhsD",945116,"P16919"
"yiaT",948097,"P37681"
"ypaA",1450280,"V9HVX0"
"yejL",946694,"P0AD24"
"potI",945485,"P0AFL1"
"insA7",,"P19767"
"spy",946253,"P77754"
"btuD",945751,"C4ZYH1"
"comR",,"P75952"
"hsdR",948878,"P08956"
"ulaG",948705,"C4ZR69"
"rpsT",944759,"P0A7U7"
"ydeE",946083,"P31126"
"folK",948792,"P26281"
"phoQ",946326,"P23837"
"glnA",948370,"P0A9C5"
"grxB",946926,"P0AC59"
"hflK",948698,"P0ABC7"
"ydgU",5061510,"A5A617"
"rluD",947087,"P33643"
"yoeI",7751643,"C1P606"
"rimJ",946910,"P0A948"
"iap",947215,"P10423"
"trxA",948289,"P0AA25"
"yebG",946364,"P0ACY9"
"lgt",947303,"C4ZZY0"
"ydhQ",944851,"P77552"
"rspB",946127,"P38105"
"nuoG",946762,"P33602"
"yagQ",,
"ldrD",2847730,"Q6BF25"
"alsE",948595,"P32719"
"pspB",945893,"P0AFM9"
"murJ",945487,"P0AF16"
"fes",945181,"P13039"
"acpT",947979,"P37623"
"ypjA",948630,"P52143"
"bisC",946915,"P20099"
"mrcA",947907,"P02918"
"mukE",945550,"P22524"
"lipA",945227,"C4ZWB5"
"ybiB",945424,"P30177"
"yehD",946619,"P33343"
"hemN",948362,"P32131"
"yehI",946649,"P33346"
"dppF",948056,"P37313"
"feoC",947918,"P64638"
"hcp",946592,"C4ZY45"
"lysC",948531,"P08660"
"codB",944994,"P0AA82"
"yheV",1450290,"P0ADW8"
"yfbP",946754,"P76486"
"cysB",945771,"P0A9F3"
"lpxA",944849,"C4ZRS3"
"ymdB",946987,"P0A8D6"
"yajC",945374,"P0ADZ7"
"cutC",2847756,"B1XHE2"
"ygiV",945805,"Q46866"
"ydcS",946005,"P76108"
"plaP",946533,"P0AA47"
"yfeC",946857,"P0AD37"
"hflC",948697,"P0ABC3"
"grcA",947068,"C4ZYK2"
"glnQ",945435,"P10346"
"dnaT",948813,"B1XFH3"
"mdtL",948219,"C4ZYY8"
"carA",949025,"P0A6F1"
"degP",947139,"P0C0V0"
"lplT",947317,"B1XDP1"
"srlD",948937,"P05707"
"ygfZ",947384,"P0ADE8"
"yadC",944837,"P31058"
"yeaH",946296,"C4ZZE0"
"ydjL",946299,"P77539"
"livM",947966,"P22729"
"dacD",946518,"P33013"
"mglA",949036,"P0AAG8"
"pheP",945199,"P24207"
"yjbB",948521,"P0AF43"
"yshB",7751621,"C1P620"
"srlA",947575,"P56579"
"ycaD",945515,"C4ZQ24"
"glnG",948361,"P0AFB8"
"wzzE",944815,"P0AG00"
"rbsK",948260,"P0A9J6"
"rsmH",944806,"C4ZQ04"
"mazG",947254,"P0AEY3"
"clpS",948443,"C4ZY53"
"yraN",947662,"P45465"
"ynbC",945970,"P76092"
"pheA",947081,"P0A9J8"
"dlsT",,"P42628"
"ligB",948164,"B1X980"
"murD",944818,"P14900"
"ydhU",945608,"P77409"
"mepS",946686,"P0AFV4"
"kdpF",948946,"P36937"
"wzb",946564,"P0AAB2"
"ribE",946453,"P61714"
"ybjH",945447,"P0AAY4"
"yjgW",,"Q9Z3A0"
"ycfT",945679,"P75955"
"yeaX",946329,"P76254"
"xylH",948083,"P0AGI4"
"lepB",947040,"P00803"
"flgM",946684,"P0AEM4"
"uxuA",947082,"C4ZT10"
"yafT",949009,"P77339"
"rbfA",947685,"B1XGX9"
"rnlA",947107,"P52129"
"dmlR",946316,"P76250"
"amiB",948683,"P26365"
"yggS",947423,"P67080"
"rfaC",,"P24173"
"aroD",946210,"B1XG01"
"yejM",946685,"P0AD27"
"epmC",946807,"P76938"
"modF",945368,"P31060"
"ydfJ",944802,"P77228"
"waaU",948147,"P27242"
"yghW",947485,"P64574"
"aceK",944797,"B1XC15"
"yqiI",947535,"P76656"
"ecnA",2847736,"P0ADB4"
"ytfK",948736,"P0ADE2"
"yjgX",4056033,"P39349"
"nagZ",945671,"C4ZS47"
"fpr",948414,"P28861"
"ybiV",945432,"P75792"
"ppiC",948285,"P0A9L5"
"yagA",944937,"P37007"
"cbl",946502,"Q47083"
"araA",947511,"C4ZPY5"
"satP",944792,"P0AC98"
"secG",947720,"P0AG99"
"gspH",947834,"P41443"
"uspE",945904,"P0AAC0"
"rlmF",944938,"B1X7D7"
"hslV",948429,"C5A099"
"narY",946034,"P19318"
"yraK",947654,"P43319"
"yphH",947023,"P76586"
"yecJ",946388,"P0AD10"
"zapC",945552,"P75862"
"ftsH",947690,"P0AAI3"
"yfeK",946876,"Q47702"
"manY",946332,"P69801"
"hxpB",,"P77247"
"ddlB",946324,"P07862"
"hslO",947178,"B1X748"
"yegD",947234,"P36928"
"yihW",948381,
"cueO",947736,"P36649"
"ykgA",944956,"P77601"
"ynfQ",,"P0DPC9"
"pphB",947196,"P55799"
"yciZ",5061509,"C4ZTY0"
"aas",947315,"B1XDP2"
"fetB",945137,"P77307"
"yagM",944959,"P71296"
"coaA",948479,"P0A6I3"
"aroF",947084,"P00888"
"yihF",948352,"P32128"
"yjcS",948597,"P32717"
"hlyE",945745,"P77335"
"ydfR",946095,"P76160"
"alsC",948594,"P32720"
"insD1",945203,"P0CF53"
"yiaW",948105,"P0ADK4"
"yhdN",947785,"P36677"
"insF3",,"P0CF81"
"bax",948089,"P27297"
"fimG",948846,"P08190"
"lptC",947722,"P0ADV9"
"frsA",946039,"C4ZT96"
"ygeH",946265,"P76639"
"ssuC",947216,"P75851"
"ygiB",945086,"C4ZQV5"
"phnE1",,"P0DP69"
"ydhY",948749,"P0AAL6"
"frc",946842,"C4ZVR1"
"yhbW",947677,"P0ADV5"
"fepC",945201,"P23878"
"ftsA",944778,"P0ABH0"
"ddpD",946002,"P77268"
"paaJ",946121,"P0C7L2"
"yhdZ",947763,"P45769"
"tfaX",945183,"P77087"
"yrdA",947775,"P0A9W9"
"ygfB",947400,"B1XEJ5"
"ygdI",947276,"P65292"
"ymfA",945684,"P75962"
"mlaE",947732,"P64606"
"mntR",945437,"P0A9F1"
"chbA",946244,"P69791"
"ygfF",947373,"P52037"
"sotB",,"P31122"
"insH8",,"P0CE55"
"modA",945364,"P37329"
"glgB",947940,"P07762"
"tolR",945328,"P0ABV6"
"bhsA",945492,"P0AB40"
"menD",946720,"C4ZUA7"
"tpr",946224,"P02338"
"nanM",949106,"P39371"
"ykgN",,"Q79E92"
"cobC",945246,"P52086"
"bcsG",948058,"P37659"
"mtfA",946489,"C4ZQP5"
"hsdM",948872,"P08957"
"yqiA",947488,"P0A8Z7"
"sufE",946173,"C4ZYE1"
"ydhP",947340,"P77389"
"yfjD",2847739,"P37908"
"brnQ",945042,"P0AD99"
"decR",,"P0ACJ5"
"intA",946160,"P32053"
"rplD",947818,"B1X6H0"
"pdeR",,"P77334"
"hiuH",946485,"P76341"
"arnB",947375,"C4ZU95"
"yibQ",948128,"P37691"
"tehB",945979,"P25397"
"cusF",945188,"P77214"
"galE",945354,"P09147"
"yedS",2847763,"P76335"
"yohP",7751636,"C1P609"
"adiA",948638,"P28629"
"dsbA",948353,"P0AEG4"
"ynbE",945946,"P64448"
"rcbA",,"P33230"
"yeaK",946303,"P64483"
"sgcB",1450295,"P58035"
"ygaC",947156,"P0AD53"
"glyQ",948079,"P00960"
"elbB",947903,"P0ABU5"
"sodA",948403,"P00448"
"ymfD",945329,"P75967"
"yghB",947490,"P0AA60"
"folM",949096,"P0AFS3"
"dnaK",944750,"P0A6Y8"
"yeiI",946640,"P33020"
"yfjL",947110,"P52127"
"lhgO",948069,"P37339"
"phnM",948613,"P16689"
"aaaT",,"P46854"
"ybaB",945104,"P0A8B5"
"yfiE",947064,"P33634"
"prr",,"B1XDF5"
"murP",946894,"P77272"
"ybfF",945288,"P75736"
"pth",945765,"P0A7D1"
"ykfM",5061498,"A5A605"
"yqjH",947582,"Q46871"
"htpX",946076,"C4ZZI6"
"argB",948464,"B1XBC4"
"insC6",,"P0CF45"
"ybfC",947288,"P28915"
"insG",948805,"P03835"
"yedE",945192,"P31064"
"wbbK",946555,"P37751"
"plsB",948541,"B1XC40"
"sdhA",945402,"P0AC41"
"yjjV",2847741,"P39408"
"bglJ",948889,"P39404"
"yafU",946644,"P77354"
"rapZ",,"C4ZSU4"
"rseB",947054,"P0AFX9"
"yfbK",946743,"P76481"
"insO2",,"Q47718"
"ybhL",945401,"P0AAC4"
"torY",946490,"P52005"
"ccmD",946709,"P0ABM5"
"ycjX",945872,"P76046"
"acrR",945516,"P0ACS9"
"pepE",948520,"B1XC20"
"ykgG",945906,"P77433"
"yegJ",947201,"P76394"
"rhaD",948401,"C5A070"
"rsmF",946348,"C4ZZJ2"
"ypfH",947571,"P76561"
"yidE",948193,"C4ZYW2"
"rpsP",947103,"C4ZYM7"
"kdpB",947450,"C4ZWH3"
"cvpA",945055,"P08550"
"parC",947499,"P0AFI2"
"lipB",945217,"P60720"
"ghoS",948646,"P0AF61"
"yecN",946381,"P64515"
"napH",945984,"P33934"
"yadE",946536,"P31666"
"atpA",948242,"C4ZZ12"
"cpdA",947515,"P0AEW4"
"rtcR",947928,"P38035"
"apaH",944770,"P05637"
"ybcL",945165,"P77368"
"tus",945135,"C4ZY73"
"etk",947409,"P38134"
"ybiY",945445,"P75794"
"rcnB",949080,"P64534"
"ibaG",947958,"P0A9W6"
"hha",945098,"P0ACE3"
"fieF",948413,"B1XB81"
"ygaQ",2847762,"P76616"
"gadE",948023,"P63204"
"fimB",948832,"P0ADH5"
"insB5",,"P0CF28"
"mdtD",,"C4ZSG5"
"cysD",947217,"P21156"
"yhbU",949115,"P45527"
"hisL",946547,"P60995"
"cadA",948643,"P0A9H3"
"ybgP",945110,"P75749"
"metL",948433,"P00562"
"ygfK",949068,"Q46811"
"agaA",947646,"P42906"
"fimF",948845,"P08189"
"folD",945221,"C4ZUX7"
"fliR",946464,"P33135"
"nlpE",946782,"P40710"
"yncI",945121,"P76119"
"yneG",946171,"P76148"
"ompF",945554,"P02931"
"dlgD",,"C4ZXG6"
"lysS",947372,"P0A8N3"
"ygjH",946251,"P42589"
"yfbV",946774,"C4ZVI8"
"ldrC",2847775,"P0DPD1"
"yciH",947058,"P08245"
"pdxB",946785,"P05459"
"ampG",946438,"P0AE16"
"yjjB",948811,"P0ADD2"
"yihM",948367,"P32134"
"miaA",948690,"C4ZR48"
"nadE",946946,"C4ZZ96"
"alkA",947371,"P04395"
"ftsP",944982,"P26648"
"arcB",947887,"P0AEC3"
"ppdC",945797,"P08372"
"fabB",946799,"P0A953"
"bssR",945466,"P0AAY1"
"ykgF",944980,"P77536"
"hscC",945218,"P77319"
"yciC",945844,"C4ZTU8"
"yadL",944829,"P37017"
"yfbR",946771,"B1X903"
"gatA",946633,"P69828"
"yciE",946871,"P21363"
"folP",947691,"P0AC13"
"potG",945476,"P31134"
"yahJ",944976,"P77554"
"kilR",945921,"P38393"
"rzpR",945928,"P77551"
"yjiL",948837,"P39383"
"envC",948129,"P37690"
"flhD",945442,"B1XHF8"
"btuF",947574,"P37028"
"yncJ",945990,"P64459"
"pabC",946647,"P28305"
"fucR",946905,"P0ACK8"
"yfiM",947060,"P46126"
"ycaN",945523,"P75836"
"ahpC",945225,"P0AE08"
"panC",944958,"P31663"
"sad",947440,"P76149"
"ibsC",7751627,"C1P615"
"ybbA",945122,"P0A9T8"
"napD",945187,"P0A9I5"
"ilvL",948283,"P62522"
"rpmD",947797,"C4ZUF7"
"rmuC",948966,"P0AG71"
"ycgX",945733,"P75988"
"pdeD",,"P76261"
"wecH",948077,"P37669"
"hxpA",,"P77625"
"yagE",944925,"P75682"
"tatC",948328,"P69423"
"yjgH",948769,"P39332"
"nfo",946669,"C4ZU09"
"fepD",945214,"P23876"
"fic",947872,"P20605"
"shiA",946495,"P76350"
"hflD",945693,"B1XA42"
"nadC",948869,"P30011"
"ybcH",945186,"P37325"
"livH",947965,"P0AEX7"
"helD",946227,"P15038"
"phnO",948599,"P16691"
"zraS",948506,"P14377"
"fadH",947594,"P42593"
"yghD",947025,"Q46832"
"araC",944780,"P0A9E0"
"yddW",945975,"P64426"
"yebY",947014,"P64506"
"mcrB",949122,"P15005"
"ykgO",1450238,"Q2EEQ2"
"yhhJ",947991,"P0AGH1"
"cdaR",944860,"P37047"
"uacT",949017,"Q46821"
"yjhE",948810,"P39355"
"ygjK",947596,"P42592"
"elyC",945546,"P0AB01"
"cydX",1450246,"P56100"
"eutD",946940,"P77218"
"ychE",945836,"P25743"
"atpD",948244,"P0ABB4"
"rzpQ",946101,"P76158"
"yghJ",,"P0CK95"
"wbbI",947041,"P37749"
"insH4",,"P0CE52"
"narI",945808,"P11350"
"srlB",948971,"P05706"
"ynhG",,"P76193"
"aslB",949013,"P25550"
"emrD",948180,"P31442"
"eutC",946925,"P19636"
"ybjC",945481,"P46119"
"dusC",945458,"P33371"
"evgA",946841,"P0ACZ4"
"rfaQ",,"P25742"
"yggE",947398,"P0ADS6"
"ynfC",946131,"C4ZWZ7"
"ydhT",945960,"P77147"
"yagS",,
"ybjD",945498,"P75828"
"yjeJ",948663,"P39279"
"ydjZ",946269,"P76221"
"ygcN",946114,"Q46904"
"yciA",946634,"P0A8Z0"
"ppx",946970,"P0AFL6"
"ycgJ",946155,"P76001"
"ynfH",945822,"P76173"
"yihG",948350,"P32129"
"atoD",947525,"P76458"
"yafJ",944906,"Q47147"
"ydiO",945626,"P0A9U8"
"ribF",949129,"P0AG40"
"yahE",947134,"P77297"
"yciV",945857,"P77766"
"caiF",944795,"P0AE58"
"argP",944867,"B1XEK1"
"ybbO",945337,"P0AFP4"
"rhsB",947994,"P16917"
