"GID","UNIPROT"
"NCU00147","Q7RXR1"
"NCU04452","Q7RWB4"
"NCU07523","Q7S324"
"NCU08909","Q1K677"
"NCU06850","Q1K8K4"
"NCU06781","Q1K8Y9"
"NCU07253","Q7S962"
"NCU01162","Q1K868"
"NCU06871","Q7S0A7"
"NCU02806","Q7RVK6"
"NCU05429","V5IQZ6"
"NCU00150","Q7RXQ8"
"NCU00168","Q7RXP0"
"NCU07741","Q7S0V1"
"NCU04657","Q7S3B7"
"NCU02083","Q7SEY1"
"NCU08904","Q7S0A4"
"NCU05227","Q7S8I1"
"NCU07623","Q7SB02"
"NCU08503","Q7SC98"
"NCU06168","Q7S5C0"
"NCU05539","Q7S724"
"NCU01562","Q1K4X7"
"NCU09519","Q7S1P6"
"NCU06227","Q7SBS8"
"NCU01224","F5HCG6"
"NCU02260","Q7RVB2"
"NCU02840","Q7SDQ8"
"NCU05363","Q1K8L2"
"NCU01596","Q1K564"
"NCU02650","Q7SH78"
"NCU02224","Q7S4G9"
"NCU10067","Q7S027"
"NCU11053","A7UXB9"
"NCU07721","Q7S8R8"
"NCU00823","Q7SEB1"
"NCU09450","Q7S0G3"
"NCU01547","Q8WZY4"
"NCU02982","Q1K946"
"NCU04832","Q7S6K3"
"NCU06071","Q7S4X9"
"NCU01904","Q7SHA2"
"NCU07794","Q7S0K4"
"NCU04857","Q7S388"
"NCU05050","Q7RXD4"
"NCU02010","Q7SFM2"
"NCU03283","V5IR23"
"NCU09862","Q7S5Z2"
"NCU00680","Q7SHX3"
"NCU04803","Q7S6N2"
"NCU05038","Q7RX50"
"NCU05425","Q7SC30"
"NCU04419","Q7RZ55"
"NCU03913","Q1K5Z8"
"NCU09864","Q7S5Z0"
"NCU09364","P19752"
"NCU05983","Q7S213"
"NCU03765","Q7RV16"
"NCU06066","Q7S4Y4"
"NCU03926","Q1K5Z0"
"NCU00114","Q7RYL4"
"NCU03343","Q873E4"
"NCU01800","Q1K548"
"NCU03827","Q7S7R6"
"NCU04575","Q1K661"
"NCU06024","P07046"
"NCU00838","Q7SDA1"
"NCU03159","Q7SEX2"
"NCU01806","Q1K542"
"NCU00334","Q7RZN0"
"NCU08026","Q7SAL5"
"NCU00712","Q7SET4"
"NCU03922","Q1K5Z3"
"NCU08058","Q7SGM5"
"NCU16336","V5IQ26"
"NCU04393","Q7RZ80"
"NCU11196","A7UVX8"
"NCU03282","Q7SDX3"
"NCU09553","Q7S2A8"
"NCU06559","Q1K8F0"
"NCU10110","A7UWK3"
"NCU03777","Q1K7A4"
"NCU06960","Q7SAI9"
"NCU04385","Q7RZ87"
"NCU06232","P34738"
"NCU09473","Q7SC08"
"NCU05558","Q7S705"
"NCU04796","Q7S6N9"
"NCU09646","Q7S277"
"NCU00302","Q7RZR2"
"NCU08124","Q7S4K7"
"NCU05991","Q7S2G4"
"NCU10048","Q7S084"
"NCU00387","Q7RYS3"
"NCU01092","Q1K883"
"NCU04592","Q1K625"
"NCU08943","Q1K6S0"
"NCU03332","Q1K4P7"
"NCU07964","Q7S921"
"NCU03525","Q1K5E4"
"NCU00056","Q7RVN4"
"NCU04069","Q7RZE9"
"NCU03255","Q7SEH2"
"NCU03393","Q01291"
"NCU01452","Q871N9"
"NCU03102","Q7SFZ2"
"NCU06432","Q7RV74"
"NCU09539","Q7S2C2"
"NCU03038","Q7SDH0"
"NCU07830","P19115"
"NCU08620","Q7SFJ9"
"NCU07014","P27770"
"NCU00475","Q7RXX0"
"NCU07826","Q7SBD8"
"NCU06047","Q7S503"
"NCU06892","Q7S3G1"
"NCU08627","O93798"
"NCU06431","Q7RV75"
"NCU01552","Q9HE74"
"NCU07182","Q1K5V9"
"NCU09476","Q7SC06"
"NCU04552","P21772"
"NCU00618","Q7RVN2"
"NCU05599","Q7S6W5"
"NCU03738","Q9C2P2"
"NCU09089","V5INR8"
"NCU06048","V5IMG5"
"NCU02181","Q7SE03"
"NCU09475","Q7RVI1"
"NCU08502","V5IQ82"
"NCU00258","O43105"
"NCU02951","Q7SHF3"
"NCU08500","V5IPM8"
"NCU01949","Q7SDY7"
"NCU03853","Q9P3X9"
"NCU08998","U9W589"
"NCU04594","A3RNH3"
"NCU10546","Q7S7K3"
"NCU05851","Q7S557"
"NCU03295","Q7SDW1"
"NCU01698","Q1K5H1"
"NCU01553","Q1K4Y3"
"NCU01830","Q872T7"
"NCU00088","Q7RYN9"
"NCU09445","Q7S1X0"
"NCU08552","Q7SBJ8"
"NCU01023","Q1K8C8"
"NCU08410","Q7SC44"
"NCU06786","Q1K8Y7"
"NCU04171","Q1K6P0"
"NCU07560","Q7S1Z3"
"NCU05714","Q7SB98"
"NCU06678","Q7S7J5"
"NCU01643","Q8WZX5"
"NCU06469","Q7RYV0"
"NCU00211","U9W8F2"
"NCU05287","Q7S910"
"NCU11368","A7UX34"
"NCU06189","Q7RVY5"
"NCU00958","Q7SGG4"
"NCU03957","Q7RZB1"
"NCU01428","V5ILW6"
"NCU08434","Q1K8P1"
"NCU17064","V5IKL1"
"NCU09659","Q7S264"
"NCU04569","V5INS7"
"NCU07408","Q96TJ5"
"NCU00979","Q7SGE3"
"NCU08663","Q7S8P0"
"NCU08344","Q7RW15"
"NCU08893","Q1K699"
"NCU08964","Q7S7F0"
"NCU00294","Q7RZS0"
"NCU02509","Q7RVN0"
"NCU01317","Q9C285"
"NCU05554","Q7S709"
"NCU01776","Q8X034"
"NCU06768","F5HIJ5"
"NCU01221","Q9P720"
"NCU03703","Q9HE25"
"NCU03988","Q7RXJ4"
"NCU04614","Q1K6A8"
"NCU04336","Q7RX40"
"NCU00413","Q7RVQ9"
"NCU02757","Q7SCX7"
"NCU04225","Q1K6U7"
"NCU08389","V5IQT8"
"NCU06661","Q1K6Z3"
"NCU02905","Q7SHJ9"
"NCU03150","Q7SDU2"
"NCU06226","Q7SBS9"
"NCU01827","Q1K580"
"NCU03806","P08978"
"NCU00315","Q7RZP9"
"NCU06749","Q1K8T6"
"NCU08299","Q7SA88"
"NCU06843","P59671"
"NCU08963","Q7S7F1"
"NCU00464","Q7RXY1"
"NCU09109","Q7S156"
"NCU07857","Q7RVY8"
"NCU10498","A7UW39"
"NCU03302","Q7SEP1"
"NCU03635","Q9C2B9"
"NCU08990","Q7S2X9"
"NCU01474","V5IPE9"
"NCU05032","V5INI1"
"NCU07562","Q7S1Z1"
"NCU00706","Q7RVK8"
"NCU03757","Q1K7B7"
"NCU04331","O59953"
"NCU02707","Q7SH22"
"NCU04068","Q7RZF0"
"NCU07829","Q7SBD5"
