FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0002174,FBgn0002174,FBpp0297363,FBtr0306253,48844,l(2)tid,Dm.19638,A0A0B4K7M9
FBgn0026090,FBgn0026090,FBpp0305695,FBtr0333511,31137,CG14812,Dm.19624,O96824
FBgn0031774,FBgn0031774,FBpp0078821,FBtr0079190,33855,CG9147,,Q9VMI0
FBgn0026634,FBgn0026634,FBpp0082568,FBtr0083114,41870,ldlCp,Dm.28344,Q9VF78
FBgn0267384,FBgn0267384,FBpp0074058,FBtr0074283,44054,Ubc7,Dm.1420,Q9VXE8
FBgn0039670,FBgn0039670,FBpp0084838,FBtr0085472,43479,CG7567,Dm.6606,Q9VAK3
FBgn0051343,FBgn0051343,FBpp0083524,FBtr0084126,326133,CG31343,Dm.21122,Q8SWX4
FBgn0030122,FBgn0030122,FBpp0071254,FBtr0071319,31881,CG16892,Dm.4429,Q9W351
FBgn0260972,FBgn0260972,FBpp0087706,FBtr0088625,35931,alc,Dm.7268,A1Z7Q8
FBgn0032895,FBgn0032895,FBpp0080955,FBtr0081426,35353,twit,Dm.12145,Q9VII3
FBgn0035718,FBgn0035718,FBpp0076604,FBtr0076894,38754,CG14820,Dm.5863,Q9VRZ3
FBgn0032160,FBgn0032160,FBpp0304781,FBtr0332505,34315,CG4598,Dm.13214,Q9VL68
FBgn0259202,FBgn0259202,FBpp0309339,FBtr0340393,7354425,CG42306,,B7YZK1
FBgn0039286,FBgn0039286,FBpp0084178,FBtr0084803,43023,dan,Dm.4441,A0A0B4KI14
FBgn0259725,FBgn0259725,FBpp0289267,FBtr0299990,7354410,CG42379,Dm.4667,B7YZN6
FBgn0037310,FBgn0037310,FBpp0078430,FBtr0078784,40635,Tim17b1,Dm.13416,Q9VNA0
FBgn0035584,FBgn0035584,FBpp0073230,FBtr0073374,38591,CG17030,Dm.5008,Q9VZ73
FBgn0032153,FBgn0032153,FBpp0111944,FBtr0113031,34306,CG4537,Dm.26773,Q9VL77
FBgn0034027,FBgn0034027,FBpp0086488,FBtr0087355,36720,CG8187,Dm.19935,Q7K1W5
FBgn0040367,FBgn0040367,FBpp0309596,FBtr0342728,31069,CG11382,Dm.12260,Q9V3C6
FBgn0038436,FBgn0038436,FBpp0082745,FBtr0083294,42002,Gyc89Db,Dm.4617,Q9VEU5
FBgn0053970,FBgn0053970,FBpp0099385,FBtr0100013,43186,CG33970,Dm.1342,Q9VBF7
FBgn0035334,FBgn0035334,FBpp0072767,FBtr0072889,38301,CG8993,Dm.5943,Q9W022
FBgn0036224,FBgn0036224,FBpp0075772,FBtr0076040,39351,Rpt4R,Dm.5141,Q9VTQ9
FBgn0032774,FBgn0032774,FBpp0080761,FBtr0081220,35212,CG17549,Dm.471,Q9VIX6
FBgn0052506,FBgn0052506,FBpp0309347,FBtr0340401,318059,CG32506,,Q8IQ30
FBgn0037100,FBgn0037100,FBpp0305648,FBtr0333458,40393,CapaR,Dm.15070,M9PFX5
FBgn0085280,FBgn0085280,FBpp0111360,FBtr0112445,5740860,CG34251,Dm.33393,A1A716
FBgn0005778,FBgn0005778,FBpp0071719,FBtr0071806,44148,PpD5,Dm.1426,Q9W2A5
FBgn0015288,FBgn0015288,FBpp0070143,FBtr0070148,31022,RpL22,Dm.6921,P50887
FBgn0039900,FBgn0039900,FBpp0296938,FBtr0305658,43783,Syt7,Dm.33078,H9XVN2
FBgn0035901,FBgn0035901,FBpp0076346,FBtr0076620,38969,CG6745,Dm.893,Q9VSK9
FBgn0053116,FBgn0053116,FBpp0080790,FBtr0081249,326259,CG33116,Dm.1955,Q9VIU4
FBgn0032143,FBgn0032143,FBpp0079463,FBtr0079867,34296,CG4017,Dm.13501,Q9VL87
FBgn0033969,FBgn0033969,FBpp0086594,FBtr0087464,36649,CG10202,Dm.628,A1Z9V3
Dmel_CG18250,,,,,,,
FBgn0031435,FBgn0031435,FBpp0077377,FBtr0077693,33442,Elba2,Dm.271,Q9VQD6
FBgn0051677,FBgn0051677,FBpp0080937,FBtr0081407,318880,CG31677,Dm.17920,Q8INV0
FBgn0029997,FBgn0029997,FBpp0309126,FBtr0340140,31729,CG2258,Dm.11529,Q9W3K6
FBgn0037284,FBgn0037284,FBpp0078513,FBtr0078873,40604,CG14659,Dm.27895,Q9VN65
FBgn0037781,FBgn0037781,FBpp0081681,FBtr0082203,41231,Fancl,Dm.5632,A0A0B4LH34
FBgn0030970,FBgn0030970,FBpp0305362,FBtr0333159,32882,CG7326,Dm.13259,Q9VWP0
FBgn0034626,FBgn0034626,FBpp0071535,FBtr0071609,37443,CG10795,Dm.720,Q9W2H1
FBgn0052185,FBgn0052185,FBpp0074940,FBtr0075174,317900,edin,Dm.34002,Q8IQR7
FBgn0033810,FBgn0033810,FBpp0311588,FBtr0345470,36459,CG4646,,A0A0B4LF92
