SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
SLC30A8,ENSG00000164756,,,169026,,Hs.532270,Q8IWU4
INAFM1,ENSG00000257704,ENSP00000447679,ENST00000552360,255783,IPI00647297,Hs.128690,C9JVW0
AGGF1,ENSG00000164252,,,55109,,Hs.634849,Q8N302
ZNF524,ENSG00000171443,ENSP00000467175,ENST00000589521,147807,,Hs.440291,Q96C55
ZNF654,ENSG00000175105,ENSP00000490842,ENST00000473136,55279,,Hs.591650,
SCARB2,ENSG00000138760,ENSP00000264896,ENST00000264896,950,IPI00217766,Hs.349656,Q14108
NOP56,ENSG00000101361,,,10528,,Hs.376064,O00567
UROD,ENSG00000126088,,,7389,,Hs.78601,P06132
HOGA1,ENSG00000241935,ENSP00000359681,ENST00000465608,112817,IPI00061760,Hs.180346,Q86XE5
MOSMO,ENSG00000185716,ENSP00000492317,ENST00000639091,730094,,Hs.498890,Q8NHV5
UBL5,ENSG00000198258,,,59286,,Hs.534477,A0A024R7B0
COX6B2,ENSG00000160471,,,125965,,Hs.550544,Q6YFQ2
RBM44,ENSG00000177483,,,375316,IPI00738852,Hs.607265,A0A0A0MR46
CBX6,ENSG00000183741,,,23466,,Hs.592201,B0QXZ6
EZH1,ENSG00000108799,,,2145,,Hs.194669,Q92800
LRRC17,ENSG00000128606,,,10234,,Hs.567412,Q8N6Y2
A4GALT,ENSG00000128274,,,53947,IPI00033541,Hs.105956,A0A0S2Z5J1
LEO1,ENSG00000166477,,,123169,,Hs.567662,Q8WVC0
SETD6,ENSG00000103037,,,79918,,Hs.731691,Q8TBK2
ERVK3-1,ENSG00000142396,,,105372481,,Hs.435404,
DOC2A,ENSG00000149927,,,8448,IPI00455076,Hs.355281,Q14183
EPHX4,ENSG00000172031,ENSP00000359410,ENST00000370383,253152,,Hs.201555,Q8IUS5
LGR6,ENSG00000133067,,,59352,,Hs.497402,Q9HBX8
ASAP1,ENSG00000153317,,,50807,,Hs.655552,A0A0A0MRE5
ARFGAP1,ENSG00000101199,,,55738,,Hs.25584,Q8N6T3
OR4F6,ENSG00000184140,ENSP00000327525,ENST00000328882,390648,,Hs.553399,A0A126GV96
BEX3,ENSG00000166681,,,27018,IPI00025492,Hs.448588,Q00994
UPK3BL1,ENSG00000267368,ENSP00000342938,ENST00000340457,100134938,,Hs.610255,B0FP48
SDC3,ENSG00000162512,,,9672,,Hs.158287,O75056
CLDN23,ENSG00000253958,ENSP00000428780,ENST00000519106,137075,,Hs.183617,Q96B33
MAPK10,ENSG00000109339,,,5602,IPI00023547,Hs.13438,A0A286YF97
LUZP2,ENSG00000187398,,,338645,,Hs.144138,Q86TE4
ERFE,ENSG00000178752,,,151176,,Hs.24951,Q4G0M1
AGT,ENSG00000135744,ENSP00000355627,ENST00000366667,183,IPI00032220,Hs.19383,B0ZBE2
DCDC2,ENSG00000146038,,,51473,,Hs.61345,Q9UHG0
AARSD1,ENSG00000266967,ENSP00000467714,ENST00000587023,80755,,Hs.317403,Q9BTE6
C6orf10,,,,,,,
ATPAF1,ENSG00000123472,,,64756,,Hs.100874,A8MRA7
PGF,ENSG00000119630,,,5228,IPI00219515,Hs.252820,P49763
FAM90A2P,,,,729689,,Hs.741074,
FAM155B,ENSG00000130054,ENSP00000252338,ENST00000252338,27112,,Hs.87619,O75949
MUC22,ENSG00000261272,ENSP00000455906,ENST00000561890,100507679,,Hs.582967,E2RYF6
LRRC8A,ENSG00000136802,,,56262,,Hs.643600,A0A024R892
KBTBD11,ENSG00000176595,ENSP00000321544,ENST00000320248,9920,,Hs.5333,O94819
NBPF14,ENSG00000270629,ENSP00000479693,ENST00000619423,25832,,Hs.534675,A0A087WZJ2
AMELX,ENSG00000125363,,,265,IPI00220033,Hs.654436,Q99217
YY1,ENSG00000100811,,,7528,,Hs.388927,P25490
SIGLEC15,ENSG00000197046,,,284266,,Hs.287692,Q6ZMC9
GBP3,ENSG00000117226,,,2635,IPI00798277,Hs.720167,Q9H0R5
CCDC174,ENSG00000154781,,,51244,,Hs.517820,Q6PII3
CRTC1,ENSG00000105662,,,23373,,Hs.371096,Q6UUV9
MAP7D2,ENSG00000184368,,,256714,IPI00167142,Hs.127951,Q96T17
IPP,ENSG00000197429,,,3652,IPI00642759,Hs.744252,Q9Y573
SMAD9,ENSG00000120693,,,4093,,Hs.123119,O15198
ANKRD22,ENSG00000152766,ENSP00000360998,ENST00000371930,118932,,Hs.217484,Q5VYY1
RXYLT1,ENSG00000118600,,,10329,,Hs.216386,G3V1K2
RAP1A,ENSG00000116473,,,5906,IPI00019345,Hs.190334,A8KAH9
PTH2R,ENSG00000144407,ENSP00000482485,ENST00000617735,5746,IPI00927172,Hs.570296,B4DFN8
PPP3R2,ENSG00000188386,ENSP00000363939,ENST00000374806,5535,IPI00065432,Hs.151167,Q96LZ3
GP1BA,ENSG00000185245,ENSP00000329380,ENST00000329125,2811,IPI00943099,Hs.1472,L7UYB8
OR4E2,ENSG00000221977,ENSP00000493386,ENST00000641524,26686,IPI00168974,Hs.547982,A0A126GVR8
NDUFS7,ENSG00000115286,,,374291,IPI01009519,Hs.211914,O75251
PRKAA2,ENSG00000162409,,,5563,IPI00307755,Hs.437039,P54646
PGAP3,ENSG00000161395,,,93210,IPI00742797,Hs.462971,Q96FM1
ARL4A,ENSG00000122644,,,10124,,Hs.245540,A0A024R9Z2
GTPBP2,ENSG00000172432,,,54676,IPI00151360,Hs.485449,A8K2K2
FAM163B,ENSG00000196990,ENSP00000419867,ENST00000496132,642968,IPI00478696,Hs.173134,P0C2L3
RASSF8,ENSG00000123094,,,11228,,Hs.696433,A0A024RB12
PKIG,ENSG00000168734,,,11142,,Hs.472831,Q549H9
ECE2,ENSG00000145194,ENSP00000314295,ENST00000324557,9718,,Hs.146161,
S100A1,ENSG00000160678,,,6271,,Hs.515715,A0A0S2Z4H2
CCDC103,ENSG00000167131,ENSP00000329499,ENST00000331733,388389,IPI00165251,Hs.743398,Q8IW40
TAF8,ENSG00000137413,,,129685,,Hs.520122,Q7Z7C8
NEUROD2,ENSG00000171532,ENSP00000306754,ENST00000580874,4761,,Hs.322431,Q15784
DHX30,ENSG00000132153,,,22907,,Hs.517948,H7BXY3
RANBP1,ENSG00000099901,,,5902,IPI00414127,Hs.24763,F6WQW2
PGAM4,ENSG00000226784,ENSP00000412189,ENST00000458128,441531,,Hs.632822,Q8N0Y7
CD3D,ENSG00000167286,ENSP00000300692,ENST00000300692,915,IPI00759573,Hs.504048,B0YIY4
DPY30,ENSG00000162961,,,84661,,Hs.531788,Q9C005
IQCC,ENSG00000160051,,,55721,,Hs.274356,Q4KMZ1
MECR,ENSG00000116353,,,51102,,Hs.183646,Q9BV79
SLF1,ENSG00000133302,,,84250,,Hs.657315,I6L9F1
VPS16,ENSG00000215305,ENSP00000369810,ENST00000380445,64601,,Hs.269577,Q9H269
NEK6,ENSG00000119408,,,10783,,Hs.197071,Q9HC98
TMEM176B,ENSG00000106565,,,28959,,Hs.647090,A0A090N7V7
ELAVL4,ENSG00000162374,,,1996,,Hs.213050,P26378
PCSK6,ENSG00000140479,,,5046,IPI00217333,Hs.498494,A2RQD9
HDC,ENSG00000140287,,,3067,IPI00290368,Hs.1481,P19113
EVA1B,ENSG00000142694,ENSP00000270824,ENST00000270824,55194,,Hs.87016,Q9NVM1
TCHHL1,ENSG00000182898,ENSP00000357796,ENST00000368806,126637,,Hs.546477,Q5QJ38
TRBV6-3,,,,28604,,,
GABPB1,ENSG00000104064,,,2553,IPI00218611,Hs.654350,Q06547
SYNDIG1,ENSG00000101463,ENSP00000366058,ENST00000376862,79953,,Hs.124638,Q9H7V2
NOS2,ENSG00000007171,,,4843,,Hs.709191,P35228
ALDH9A1,ENSG00000143149,,,223,IPI00479877,Hs.2533,B9EKV4
ABCC11,ENSG00000121270,,,85320,,Hs.652267,A0A024R6Q6
IL27RA,ENSG00000104998,ENSP00000263379,ENST00000263379,9466,,Hs.132781,Q6UWB1
SLC39A5,ENSG00000139540,,,283375,,Hs.591018,A0A024RB24
HIC1,ENSG00000177374,,,3090,IPI00007993,Hs.72956,Q14526
PRPF40A,ENSG00000196504,,,55660,,Hs.643580,O75400
RPL23A,ENSG00000198242,,,6147,,Hs.419463,P62750
OR2AE1,ENSG00000244623,ENSP00000313936,ENST00000316368,81392,,Hs.647523,Q8NHA4
GCNT3,ENSG00000140297,,,9245,,Hs.194710,A0A024R5T9
HSPB7,ENSG00000173641,,,27129,,Hs.502612,Q9UBY9
HYKK,ENSG00000188266,,,123688,,Hs.307962,A2RU49
IRAK1BP1,ENSG00000146243,,,134728,,Hs.656212,Q5VVH5
WFDC6,ENSG00000243543,ENSP00000361755,ENST00000372670,140870,,Hs.673237,A0A0K0K1K0
OTUB2,ENSG00000089723,ENSP00000203664,ENST00000203664,78990,,Hs.278815,Q96DC9
SLC22A31,ENSG00000259803,ENSP00000474621,ENST00000562855,146429,,Hs.447544,A0A087WY01
DDX19A,ENSG00000168872,,,55308,,Hs.656037,B4DS24
SLC22A17,ENSG00000092096,,,51310,,Hs.373498,Q8WUG5
P2RX3,ENSG00000109991,ENSP00000263314,ENST00000533436,5024,IPI00290106,Hs.146738,P56373
IQSEC1,ENSG00000144711,,,9922,,Hs.475506,A0A087WWK8
LOC102724159,ENSG00000275464,ENSP00000482107,ENST00000617716,102724159,,,A0A0B4J2E5
LIPC,ENSG00000166035,,,3990,,Hs.654472,A6H8L5
ZNF142,ENSG00000115568,,,7701,,Hs.657969,P52746
UFSP2,ENSG00000109775,,,55325,,Hs.713548,B3KRI4
PITPNM1,ENSG00000110697,,,9600,,Hs.372295,B2R787
FGF6,ENSG00000111241,ENSP00000445479,ENST00000535390,2251,,Hs.166015,P10767
