UNIPROT,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE
Q7QHF3,,,,1270764,AgaP_AGAP011165,
Q6H8Y7,,,,1277892,AgaP_AGAP008058,
Q7PSQ9,AGAP011096,AGAP011096-PA,AGAP011096-RA,1270831,AgaP_AGAP011096,
Q380N5,AGAP001821,AGAP001821-PA,AGAP001821-RA,3290520,AgaP_AGAP001821,
Q7PYH2,AGAP001938,AGAP001938-PA,AGAP001938-RA,1281185,AgaP_AGAP001938,
A0NDL7,AGAP003710,AGAP003710-PA,AGAP003710-RA,4576799,AgaP_AGAP003710,
Q7QE58,AGAP000813,AGAP000813-PA,AGAP000813-RA,1272401,AgaP_AGAP000813,
Q7PIJ2,AGAP005998,AGAP005998-PA,AGAP005998-RA,1276668,CPR23,
Q5TR92,AGAP005984,AGAP005984-PA,AGAP005984-RA,1276657,AgaP_AGAP005984,
A0NEK8,AGAP006004,AGAP006004-PA,AGAP006004-RA,4576295,CPR102,
A7UUV0,AGAP004763,AGAP004763-PA,AGAP004763-RA,5667357,AgaP_AGAP004763,
Q7QCP3,AGAP002738,AGAP002738-PA,AGAP002738-RA,1273228,SCRB5,
Q7Q1K3,AGAP009745,AGAP009745-PA,AGAP009745-RA,1279152,AgaP_AGAP009745,
Q7QB66,AGAP004156,AGAP004156-PA,AGAP004156-RA,4576963,AgaP_AGAP004156,
Q7QC20,AGAP002409,AGAP002409-PA,AGAP002409-RA,1273553,AgaP_AGAP002409,
A7UTW5,AGAP005808,AGAP005808-PA,AGAP005808-RA,5667158,AgaP_AGAP005808,
Q7QFU9,AGAP003826,AGAP003826-PA,AGAP003826-RA,1271566,AgaP_AGAP003826,
Q5TW58,AGAP011320,AGAP011320-PA,AGAP011320-RA,3291293,AgaP_AGAP011320,
Q5TTA9,AGAP004259,AGAP004259-PA,AGAP004259-RA,3290988,AgaP_AGAP004259,
Q5TPC5,AGAP009627,AGAP009627-PA,AGAP009627-RA,3292015,AgaP_AGAP009627,
F5HLX3,AGAP013401,AGAP013401-PA,AGAP013401-RA,11175629,AgaP_AGAP013401,
Q7PNM5,AGAP005829,AGAP005829-PA,AGAP005829-RA,1276497,AgaP_AGAP005829,
Q7PSD7,AGAP009398,AGAP009398-PA,AGAP009398-RA,4578319,GPROR15,
A7UVP8,AGAP001299,AGAP001299-PA,AGAP001299-RA,5667582,AgaP_AGAP001299,
Q7PZV2,AGAP012105,AGAP012105-PA,AGAP012105-RA,1280571,AgaP_AGAP012105,
A0NGK2,AGAP012412,AGAP012412-PA,AGAP012412-RA,4577477,AgaP_AGAP012412,
Q7PR29,AGAP003004,AGAP003004-PA,AGAP003004-RA,1272949,AgaP_AGAP003004,
Q7PX01,AGAP001144,AGAP001144-PA,AGAP001144-RA,1282022,AgaP_AGAP001144,
Q7Q191,,,,1279321,AgaP_AGAP009908,
Q7Q1F2,AGAP009821,AGAP009821-PA,AGAP009821-RA,1279236,AgaP_AGAP009821,
Q7QC87,AGAP002502,AGAP002502-PA,AGAP002502-RA,1273460,AgaP_AGAP002502,
Q7PXQ1,AGAP001519,AGAP001519-PA,AGAP001519-RA,1281659,AgaP_AGAP001519,
Q7PY59,AGAP001759,AGAP001759-PA,AGAP001759-RA,1281416,AgaP_AGAP001759,
F5HM16,AGAP001061,AGAP001061-PB,AGAP001061-RB,4576088,AgaP_AGAP001061,
Q7PXR1,AGAP001530,AGAP001530-PA,AGAP001530-RA,1281647,AgaP_AGAP001530,
Q5TV64,AGAP000591,AGAP000591-PA,AGAP000591-RA,4576132,AgaP_AGAP000591,
Q7PY44,AGAP001740,AGAP001740-PA,AGAP001740-RA,1281435,AgaP_AGAP001740,
A0NG10,,,,4578378,AgaP_AGAP010092,
Q5TX14,AGAP007573,AGAP007573-PA,AGAP007573-RA,1269656,AgaP_AGAP007573,
Q7PJZ4,AGAP009934,AGAP009934-PA,AGAP009934-RA,1279349,AgaP_AGAP009934,
Q7QG73,AGAP009538,AGAP009538-PA,AGAP009538-RA,1271372,AP2A_ANOGA,
Q7PZ71,AGAP011761,AGAP011761-PA,AGAP011761-RA,1280879,AgaP_AGAP011761,
A0NB49,AGAP012671,AGAP012671-PA,AGAP012671-RA,4578478,AgaP_AGAP012671,
F5HJD2,AGAP013233,AGAP013233-PA,AGAP013233-RA,11175646,AgaP_AGAP013233,
Q7PPH9,AGAP005009,AGAP005009-PA,AGAP005009-RA,1275834,AgaP_AGAP005009,
Q5TQM6,,,,3291636,AgaP_AGAP008019,
A7UTL8,AGAP005308,AGAP005308-PA,AGAP005308-RA,5667188,AgaP_AGAP005308,
F5HKK9,AGAP002814,AGAP002814-PA,AGAP002814-RA,1273145,AgaP_AGAP002814,
Q7QAV2,AGAP003523,AGAP003523-PA,AGAP003523-RA,1274180,AgaP_AGAP003523,
Q7Q6C7,AGAP005921,AGAP005921-PA,AGAP005921-RA,1276588,AgaP_AGAP005921,
Q7Q953,AGAP004851,AGAP004851-PA,AGAP004851-RA,1275116,AgaP_AGAP004851,
Q7Q758,,,,1276178,AgaP_AGAP005490,
Q7Q3S5,,,,1277937,AgaP_AGAP008013,
Q7PKI5,AGAP001173,AGAP001173-PA,AGAP001173-RA,1281994,GPRGR52,
Q7PRJ2,AGAP010335,AGAP010335-PA,AGAP010335-RA,1272707,AgaP_AGAP010335,
Q7Q4M7,AGAP008489,AGAP008489-PA,AGAP008489-RA,1277488,AgaP_AGAP008489,
A7UUN6,,,,5668215,AgaP_AGAP008464,
F5HKN6,AGAP002728,AGAP002728-PB,AGAP002728-RB,1273240,AgaP_AGAP002728,
Q7PW05,,,,1280085,AgaP_AGAP009129,
Q7QFZ1,AGAP003768,AGAP003768-PB,AGAP003768-RB,1271501,AgaP_AGAP003768,
Q7QA67,AGAP004412,AGAP004412-PA,AGAP004412-RA,1274556,AgaP_AGAP004412,
A0NCW6,AGAP010365,AGAP010365-PB,AGAP010365-RB,3291074,AgaP_AGAP010365,
A7UVA8,,,,5668080,AgaP_AGAP009254,
Q7QAV1,AGAP003524,AGAP003524-PA,AGAP003524-RA,1274182,AgaP_AGAP003524,
Q7QJ21,AGAP007210,AGAP007210-PA,AGAP007210-RA,1269921,AgaP_AGAP007210,
Q7PX82,AGAP001268,AGAP001268-PA,AGAP001268-RA,1281910,AgaP_AGAP001268,
P35040,AGAP008290,AGAP008290-PA,AGAP008290-RA,1277692,TRY6_ANOGA,
Q7Q862,AGAP008781,AGAP008781-PA,AGAP008781-RA,1275642,AgaP_AGAP008781,
Q7Q0L5,AGAP010278,AGAP010278-PA,AGAP010278-RA,1279701,AgaP_AGAP010278,
Q7Q4D8,,,,1277628,AgaP_AGAP008353,
Q7Q9A0,AGAP003363,AGAP003363-PA,AGAP003363-RA,1275041,AgaP_AGAP003363,
Q7PM04,AGAP010099,AGAP010099-PA,AGAP010099-RA,1279526,CPR84,
Q7QKA6,AGAP002240,AGAP002240-PA,AGAP002240-RA,1269321,AgaP_AGAP002240,
Q7QEE7,,,,1272280,AgaP_AGAP000688,
Q7QAB8,AGAP004320,AGAP004320-PA,AGAP004320-RA,1274463,AgaP_AGAP004320,
Q7PRA1,AGAP002936,AGAP002936-PA,AGAP002936-RA,1273027,AgaP_AGAP002936,
F5HLE7,AGAP013425,AGAP013425-PA,AGAP013425-RA,11175939,AgaP_AGAP013425,
Q5TUL3,AGAP010663,AGAP010663-PA,AGAP010663-RA,3291136,AgaP_AGAP010663,
A7US30,AGAP000961,AGAP000961-PA,AGAP000961-RA,5666787,AgaP_AGAP000961,
Q7Q629,AGAP006070,AGAP006070-PA,AGAP006070-RA,1276742,AgaP_AGAP006070,
Q5TUJ6,AGAP010737,AGAP010737-PA,AGAP010737-RA,3291150,AgaP_AGAP010737,
A7USH4,AGAP000372,AGAP000372-PA,AGAP000372-RA,5666826,AgaP_AGAP000372,
Q7QCR2,AGAP002765,AGAP002765-PA,AGAP002765-RA,1273202,AgaP_AGAP002765,
A7UUK2,AGAP008287,AGAP008287-PB,AGAP008287-RB,5668296,AgaP_AGAP008287,
A0NCC6,AGAP000526,AGAP000526-PA,AGAP000526-RA,4575985,AgaP_AGAP000526,
Q7Q7Z6,AGAP004933,AGAP004933-PA,AGAP004933-RA,1275736,AgaP_AGAP004933,
Q5TVD9,,,,3292001,AgaP_AGAP009561,
A0NGF5,AGAP010316,AGAP010316-PA,AGAP010316-RA,4397753,AgaP_AGAP010316,Aga.31333
Q7QJ94,AGAP007367,AGAP007367-PA,AGAP007367-RA,1269812,AgaP_AGAP007367,
Q7QAJ1,AGAP003679,AGAP003679-PA,AGAP003679-RA,1274353,AgaP_AGAP003679,
Q7QIX1,AGAP007112,AGAP007112-PA,AGAP007112-RA,1269992,PESC_ANOGA,
A0NG76,AGAP009251,AGAP009251-PB,AGAP009251-RB,4578163,AgaP_AGAP009251,
Q7QCA0,AGAP002521,AGAP002521-PB,AGAP002521-RB,1273440,AgaP_AGAP002521,
Q7PPE7,,,,1275938,AgaP_AGAP004596,
Q380F3,AGAP001354,AGAP001354-PA,AGAP001354-RA,3290462,AgaP_AGAP001354,
ND1|Un,,,,,,
Q7Q2R4,AGAP004778,AGAP004778-PA,AGAP004778-RA,1278449,AgaP_AGAP004778,
A0A1U7,,,,,,
Q7Q707,AGAP005569,AGAP005569-PA,AGAP005569-RA,1276254,AgaP_AGAP005569,
Q7QFC8,AGAP000410,AGAP000410-PA,AGAP000410-RA,1271834,AgaP_AGAP000410,
Q7PN94,,,,1277773,AgaP_AGAP008198,
F5HKX1,AGAP013227,AGAP013227-PA,AGAP013227-RA,11176017,AgaP_AGAP013227,
Q7Q265,AGAP004012,AGAP004012-PA,AGAP004012-RA,1278830,AgaP_AGAP004012,
Q7Q5L4,AGAP006368,AGAP006368-PA,AGAP006368-RA,1276977,AgaP_AGAP006368,
Q7PQ75,AGAP004335,AGAP004335-PC,AGAP004335-RC,1274482,AgaP_AGAP004335,
A0NC61,AGAP009401,AGAP009401-PA,AGAP009401-RA,4578317,AgaP_AGAP009401,
Q7PW06,,,,1280084,AgaP_AGAP009128,
A0NG37,,,,4578279,AgaP_AGAP010199,
Q7PXE0,AGAP001362,AGAP001362-PA,AGAP001362-RA,1281820,AgaP_AGAP001362,
Q7Q146,AGAP009979,AGAP009979-PA,AGAP009979-RA,1279400,AgaP_AGAP009979,
Q7Q655,AGAP006035,AGAP006035-PA,AGAP006035-RA,1276705,AgaP_AGAP006035,
Q7QA68,AGAP004410,AGAP004410-PA,AGAP004410-RA,1274555,AgaP_AGAP004410,
Q7Q1Y3,AGAP009578,AGAP009578-PA,AGAP009578-RA,1278966,AgaP_AGAP009578,
Q5TWI0,AGAP006838,AGAP006838-PA,AGAP006838-RA,3290246,CPR68,
Q7PE12,AGAP012924,AGAP012924-PA,AGAP012924-RA,1268213,AgaP_AGAP012924,
A7UUY4,AGAP004823,AGAP004823-PA,AGAP004823-RA,5666840,AgaP_AGAP004823,
Q7QGJ8,,,,1271188,AgaP_AGAP011570,
